publicationYear,publicationPeriod,Science_et_vulgarisation,Science_et_vulgarisationCount
1800,1800,http://e-editiones.ch/project/data/delille#work-pagescoursencyclopedique,19
1801,1801,http://e-editiones.ch/project/data/delille#work-bertinelemens,4
1801,1801,http://e-editiones.ch/project/data/delille#work-regnardegironcourtprecis,2
1802,1802-1806,http://e-editiones.ch/project/data/delille#work-albanisdescription,9
1802,1802,http://e-editiones.ch/project/data/delille#work-henonmoutonfontenilleart,6
1802,1802,http://e-editiones.ch/project/data/delille#work-walckenaerfaune,21
1803,1803,http://e-editiones.ch/project/data/delille#work-bretondelamartinierevoyage,18
1803,1803,http://e-editiones.ch/project/data/delille#work-dethiercoup,8
1803,1803,http://e-editiones.ch/project/data/delille#work-jouardvaccine,2
1804,1804,http://e-editiones.ch/project/data/delille#work-fabriciusresultate,2
1806,1806,http://e-editiones.ch/project/data/delille#work-sternbergreise,5
1812,1812,http://e-editiones.ch/project/data/delille#work-leschevinvoyage,9
1813,1813,http://e-editiones.ch/project/data/delille#work-bilderdijkgeologie,2
1814,1814,http://e-editiones.ch/project/data/delille#work-schulerlinth,13
1815,1815,http://e-editiones.ch/project/data/delille#work-dupetitthouarshistoire,1
1815,1815,http://e-editiones.ch/project/data/delille#work-palassoumemoires,16
1815,1815,http://e-editiones.ch/project/data/delille#work-petitradelvoyage,8
1819,1819,http://e-editiones.ch/project/data/delille#work-chauvindissertation,3
1819,1819,http://e-editiones.ch/project/data/delille#work-mpremiervoyage,21
1819,1819,http://e-editiones.ch/project/data/delille#work-palassousuite,3
1819,1819,http://e-editiones.ch/project/data/delille#work-razoumovskicoupdoeil,1
1820,1820,http://e-editiones.ch/project/data/delille#work-arcadephilosophie,9
1821,1821,http://e-editiones.ch/project/data/delille#work-graffenauerhistoire,4
1821,1821,http://e-editiones.ch/project/data/delille#work-montemontvoyage0,16
1822,1822,http://e-editiones.ch/project/data/delille#work-noeggerathgebirge,8
1824,1824,http://e-editiones.ch/project/data/delille#work-ballandvegetaux,55
1825,1825,http://e-editiones.ch/project/data/delille#work-palassouvoyages,7
1827,1827,http://e-editiones.ch/project/data/delille#work-devezeessai,7
1827,1827,http://e-editiones.ch/project/data/delille#work-petitdictionnaireclassique,55
1828,1828,http://e-editiones.ch/project/data/delille#work-croizetjobertrecherches,2
1828,1828,http://e-editiones.ch/project/data/delille#work-montemontvoyagecinq,12
1828,1828,http://e-editiones.ch/project/data/delille#work-statistiquedepartements,4
1828,1828,http://e-editiones.ch/project/data/delille#work-taillardvoyageurs,8
1829,1829-1830,http://e-editiones.ch/project/data/delille#work-fossetencyclopedie,6
1835,1835-1845,http://e-editiones.ch/project/data/delille#work-zuccagnicorografia,12
1838,1838,http://e-editiones.ch/project/data/delille#work-blazechasseur,5
1838,1838-1856,http://e-editiones.ch/project/data/delille#work-mousteyexposition,2
1839,1839,http://e-editiones.ch/project/data/delille#work-berthelotwebbhistoire,2
1839,1839,http://e-editiones.ch/project/data/delille#work-bonnatbotanique,49
1839,1839,http://e-editiones.ch/project/data/delille#work-mantellwonders,1
1840,1840,http://e-editiones.ch/project/data/delille#work-jacquemartflore,50
1840,1840,http://e-editiones.ch/project/data/delille#work-richtereauxthermales,1
1841,1841-1843,http://e-editiones.ch/project/data/delille#work-chiratetudes,38
1841,1841,http://e-editiones.ch/project/data/delille#work-jehanesquisses,2
1845,1845,http://e-editiones.ch/project/data/delille#work-chaixpreoccupations,4
1845,1845,http://e-editiones.ch/project/data/delille#work-petitconnaissance,4
1846,1846,http://e-editiones.ch/project/data/delille#work-benoitcuriosites,1
1847,1847,http://e-editiones.ch/project/data/delille#work-noeggerathentstehung,8
1851,1851,http://e-editiones.ch/project/data/delille#work-masseplans,16
1852,1852,http://e-editiones.ch/project/data/delille#work-jehandictionnaire,2
1853,1853,http://e-editiones.ch/project/data/delille#work-carrocarlsbad,18
1853,1853,http://e-editiones.ch/project/data/delille#work-petitmanuel,42
1855,1855,http://e-editiones.ch/project/data/delille#work-montemontvoyageseurope,18
1857,1857,http://e-editiones.ch/project/data/delille#work-mathieucolonies,9
1860,1860,http://e-editiones.ch/project/data/delille#work-bonaldreflexions,2
1860,1860,http://e-editiones.ch/project/data/delille#work-montemontvoyage,36
1862,1862,http://e-editiones.ch/project/data/delille#work-petitetudes,4
1862,1862,http://e-editiones.ch/project/data/delille#work-rameshommefossile,2
1863,1863,http://e-editiones.ch/project/data/delille#work-lamureevacances,30
1864,1864,http://e-editiones.ch/project/data/delille#work-smythaddenda,1
1866,1866,http://e-editiones.ch/project/data/delille#work-moninphysiologie,1
1867,1867,http://e-editiones.ch/project/data/delille#work-lablanchereplantes,11
1868,1868,http://e-editiones.ch/project/data/delille#work-berlepschalpes,29
1868,1868,http://e-editiones.ch/project/data/delille#work-rambossonhistoire,3
1869,1869,http://e-editiones.ch/project/data/delille#work-bossonetudes,4
1878,1878,http://e-editiones.ch/project/data/delille#work-guillaumestation,4
1882,1882,http://e-editiones.ch/project/data/delille#work-duboisdanslesbois,4
1884,1884,http://e-editiones.ch/project/data/delille#work-tissotcontrees,8
1926,1926,http://e-editiones.ch/project/data/delille#work-meunierlauraguais,4
